"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030312","external encapsulating structure",308,0.459592524959926,2.3862457227298,1.34578518310642e-17,4.57566962256184e-15,3.59112151492082e-15,1800,"tags=38%, list=15%, signal=33%","22371/245026/14133/12818/269959/17395/219151/21810/242022/78892/74145/17390/74199/320712/70945/192897/18295/12845/114249/224697/108075/21922/12111/407800/19699/223838/11603/56744/121021/27047/13179/12495/21858/77739/18787/269855/665700/14268/14118/17387/23928/21827/21828/12829/18208/545370/12843/30806/16997/14190/81877/72713/70370/12496/17082/14114/20377/58859/17313/73368/11601/67448/50706/21817/16012/16773/18553/208777/16774/237759/13003/26432/320924/16776/12816/76293/14264/19242/16777/246228/329941/15442/12834/12258/64817/12814/12833/107581/15530/16775/56348/226519/21923/17392/140792/29817/237928/12828/13032/13640/66695/330119/94214/12823/21859/20723/373864/654812/12815/17385/108154/100952/13717/12836/216725/67532"
"GO:0031012","extracellular matrix",308,0.459592524959926,2.3862457227298,1.34578518310642e-17,4.57566962256184e-15,3.59112151492082e-15,1800,"tags=38%, list=15%, signal=33%","22371/245026/14133/12818/269959/17395/219151/21810/242022/78892/74145/17390/74199/320712/70945/192897/18295/12845/114249/224697/108075/21922/12111/407800/19699/223838/11603/56744/121021/27047/13179/12495/21858/77739/18787/269855/665700/14268/14118/17387/23928/21827/21828/12829/18208/545370/12843/30806/16997/14190/81877/72713/70370/12496/17082/14114/20377/58859/17313/73368/11601/67448/50706/21817/16012/16773/18553/208777/16774/237759/13003/26432/320924/16776/12816/76293/14264/19242/16777/246228/329941/15442/12834/12258/64817/12814/12833/107581/15530/16775/56348/226519/21923/17392/140792/29817/237928/12828/13032/13640/66695/330119/94214/12823/21859/20723/373864/654812/12815/17385/108154/100952/13717/12836/216725/67532"
"GO:0009897","external side of plasma membrane",258,0.471324325651987,2.3893234911696,6.09839318157079e-16,1.38230245448938e-13,1.08487205019522e-13,2705,"tags=48%, list=23%, signal=38%","22371/11421/14131/15018/216864/16847/14595/12986/16398/12804/93671/12628/69142/14991/21813/18439/13051/170744/12475/16197/12774/12946/18595/56644/12489/24088/69538/14130/192188/16971/12495/13038/70192/11883/15015/14586/18733/16414/269799/69165/14276/17312/110557/17082/20536/12490/20343/70839/15040/100042493/60533/16416/21814/93675/73149/21452/14960/16164/12772/237754/16149/170786/12524/14964/22329/12506/13386/12523/17329/12351/16190/15042/12768/12984/14969/15894/16186/50877/26888/14972/11303/12527/12778/16185/13640/75345/18436/14961/19264/16411/15039/209558/17076/16590/20344/18792/57781/109700/16408/101772/12562/230857/18053/71914/215615/12502/16194/70445/14585/333883/243864/16402/16531/69583/12522/12505/11829/102657/14127/14251/105727/16790/16542"
"GO:0098552","side of membrane",467,0.359658369632021,1.94575555950494,1.40990174685789e-11,2.18885834408047e-09,1.71788108428606e-09,2714,"tags=37%, list=23%, signal=30%","22371/11421/217310/14131/15018/216864/16453/16847/14595/12986/16398/12804/93671/19735/16497/69217/12628/69142/14991/21813/18439/320484/13051/14734/170744/12475/16197/12774/12946/14159/18595/56644/12489/24088/60507/69538/14130/192188/16971/23888/12495/13038/18636/100041546/70192/11883/15015/20533/14586/18733/268749/16414/269799/69165/17969/14276/17312/110557/17082/17874/20536/12490/20343/70839/14137/17886/15040/100042493/60533/235505/16416/21814/93675/73149/17069/21452/320840/14960/16164/330908/13479/12772/237754/16149/18764/170786/12524/14964/22329/12506/170745/13386/12523/17329/12351/20739/320139/16190/15042/12768/12984/14969/53614/15894/29875/16186/50877/26888/268890/12182/23833/14972/11303/12527/12778/16185/13640/12802/75345/18436/14961/19264/13405/20190/17096/16411/15039/209558/19246/17076/16590/20344/18792/57781/109700/16408/14702/101772/12562/230857/16987/18053/71914/215615/12502/16194/14678/208211/70445/14585/74239/333883/243864/16402/14696/16531/14579/69583/12522/11938/12505/319710/11829/14381/102657/14127/14679/26934/19414/14251/105727/16790/16542/77579"
"GO:0005743","mitochondrial inner membrane",460,-0.34531496002987,-1.90544024690133,1.60945466476505e-11,2.18885834408047e-09,1.71788108428606e-09,3552,"tags=46%, list=30%, signal=33%","66525/66706/78330/56428/67273/66925/66343/70316/27395/229663/74868/12869/17991/56280/57279/68202/14151/66047/67067/66495/17713/94061/66108/67876/76263/30055/110323/68499/94065/66218/100126824/68015/66091/66576/52892/53600/56284/353242/66121/64659/66114/66493/231279/218506/17827/56075/103172/68198/13076/67530/381038/67212/70310/66407/72113/66052/69956/74610/230935/66292/56322/407785/67582/56360/17718/56451/21854/78506/66416/216001/56412/74600/225887/68836/28028/79044/22334/17992/14732/67130/66449/66359/66148/17720/12862/56384/66594/18100/66448/67863/69906/12867/66278/17448/52064/320951/68194/68375/54369/70544/75778/66152/60441/246782/66092/16854/70456/64658/22335/54405/14548/68514/69186/65111/68735/12896/223696/230075/72542/75398/57312/67013/74143/66154/17719/67713/56295/12043/67994/68349/67681/66377/64655/64656/68537/215999/52443/100503890/67267/12894/66916/208638/66272/12040/69875/55951/229731/12865/67184/76137/11655/78830/22333/68197/11739/15159/56046/50529/71699/230810/22272/67044/73132/66163/17716/226139/14149/20656/69597/68943/104910/67036/66230/69094/21856/12850/18115/66973/30059/30057/50799/17993/94064/15360/56282/64384/73078/66223/68342/12859/69802/19299/94066/72795/66419/14287/24030/17714/380836/69163/18408/57837/17711/66427/121022/68611/11306/52469/11671/17717"
"GO:0019866","organelle inner membrane",497,-0.339709418698959,-1.89596743252751,3.03438080919421e-11,3.43896491708677e-09,2.69900187765169e-09,3552,"tags=45%, list=30%, signal=33%","66525/66706/78330/56428/67273/66925/66343/70316/27395/229663/74868/12869/17991/56280/57279/68202/14151/66047/67067/66495/17713/94061/66108/67876/76263/17127/30055/330189/110323/68499/94065/66218/100126824/68015/66091/66576/52892/53600/56284/353242/66121/64659/66114/66493/231279/218506/17827/13726/56075/103172/68198/13076/67530/381038/67212/70310/66407/72113/66052/69956/74610/230935/66292/56322/407785/67582/56360/17718/56451/19165/21854/78506/380664/66416/216001/56412/74600/225887/77053/68836/28028/79044/22334/17992/14732/67130/230917/66449/66359/66148/52837/74122/17720/12862/56384/66594/18100/66448/67863/69906/12867/66278/17448/52064/320951/68194/68375/54369/70544/75778/66152/60441/246782/66092/16854/70456/64658/22335/54405/14548/68514/69186/65111/68735/12896/223696/230075/72542/75398/57312/67013/74143/66154/17719/67713/56295/12043/67994/68349/67681/66377/64655/64656/68537/215999/52443/100503890/67267/12894/66916/208638/66272/12040/69875/55951/229731/12865/67184/76137/11655/78830/22333/68197/73166/11739/15159/56046/50529/71699/230810/22272/67044/73132/66163/17716/226139/14149/20656/69597/68943/104910/67036/66230/69094/21856/12850/18115/66973/30059/30057/12390/50799/17993/94064/68051/15360/56282/64384/73078/66223/68342/12859/69802/19299/94066/72795/66419/14287/24030/20462/17714/380836/69163/18408/57837/17711/66427/121022/68611/320557/11306/52469/11671/230709/17717"
"GO:0005581","collagen trimer",57,0.627437641350418,2.54040523412813,7.48130899260921e-10,6.40579579057167e-08,5.0274589254177e-08,2284,"tags=60%, list=19%, signal=48%","245026/14133/12818/219151/12259/12262/13179/12260/12829/12843/56745/73368/237759/320924/81799/12816/329941/12834/12814/12833/107581/235379/140792/12828/12823/373864/12815/100952/69183/12836/12832/12825/382864/17022"
"GO:0098798","mitochondrial protein-containing complex",163,-0.447150827489273,-2.20087088565637,7.53623034184902e-10,6.40579579057167e-08,5.0274589254177e-08,3583,"tags=52%, list=30%, signal=37%","69046/66525/70316/27395/56280/18041/66047/67067/17713/94061/30055/68499/94065/53600/56284/353242/66121/64659/66493/218506/17827/56075/103172/67212/66407/69956/230935/66292/56322/21854/78506/74316/216001/74600/68836/28028/79044/66449/66148/18100/66448/53375/12028/60441/64658/66169/14548/68514/65111/68735/223696/75398/57312/67713/67994/67681/64655/64656/68537/215999/52443/22333/11739/641376/50529/66163/69597/67036/66230/21856/66973/30059/68512/94064/56282/73078/66223/94066/66419/24030/17714/69163/121022/68611/106338"
"GO:0043235","receptor complex",239,0.3897533847124,1.96118659458074,1.15488804500352e-07,8.72582078447106e-06,6.84828349493317e-06,2639,"tags=39%, list=22%, signal=31%","241226/16847/192897/18128/16398/12804/21813/320910/12978/12475/12946/18823/14182/18595/24088/16971/26362/11481/18131/15975/14586/14396/268749/16414/18779/18213/22259/16416/21814/18214/16164/504186/223272/21687/104099/319480/11863/16149/54393/54409/18160/54712/15170/16182/54519/16190/53623/12984/16439/16186/18129/27027/235611/13649/54598/11517/100952/17096/239217/16411/11448/381921/16590/14254/15516/18596/16973/140570/19228/57781/109700/16408/225471/12502/12982/16194/243743/14585/14573/18844/67784/72699/192176/16402/19263/11479/16001/12505/110902/22637/21897/11864/12305/18858"
"GO:0030964","NADH dehydrogenase complex",45,-0.603312106403669,-2.3430695596795,3.37663693195906e-07,1.9134275947768e-05,1.50171484605548e-05,3745,"tags=78%, list=32%, signal=53%","17995/226646/78330/67273/70316/17991/68202/66495/66108/66218/66091/68198/407785/75597/17718/66416/225887/17992/67130/17720/68194/68375/54405/230075/17719/68349/66377/66916/69875/67184/68197/17716/17993/68342/17717"
